identifier ,increased_contribution
,
1605,1
,
1606,1
,
1607,1
,
1608,1
,
1615,1
,
1616,1
,
1648,1
,
1655,1
,
1658,1
,
1672,1
,
1688,1
,
1690,1
,
1700,1
,
1702,1
,
1707,1
,
1457,1
,
1458,1
,
1461,1
,
1463,1
,
1465,1
,
1468,1
,
1470,1
,
1471,1
,
1576,1
,
1577,1
,
1580,1
,
1581,1
,
1586,1
,
1588,1
,
1593,1
,
1594,1
,
1597,1
,
1602,1
,
1604,1
,
1610,1
,
1612,1
,
1618,1
,
1627,1
,
1632,1
,
1633,1
,
1641,1
,
1645,1
,
1649,1
,
1652,1
,
1654,1
,
1657,1
,
1661,1
,
1663,1
,
1666,1
,
1667,1
,
1673,1
,
1712,1
,
1715,1
,
1717,1
,
1720,1
,
1729,1
,
1730,1
,
1740,1
,
1742,1
,
1743,1
,
1750,1
,
1751,1
,
1755,1
,
1757,1
,
1760,1
,
1763,1
,
1764,1
,
1678,1
,
1679,1
,
1685,1
,
1689,1
,
1691,1
,
1692,1
,
1699,1
,
1703,1
,
1706,1
,
1710,1
,
1711,1
,
1714,1
,
1716,1
,
1719,1
,
1721,1
,
1727,1
,
1734,1
,
1737,1
,
1738,1
,
1741,1
,
1746,1
,
1748,1
,
1752,1
,
1754,1
,
1761,1
,
1765,1
,
1766,1
,
1780,1
,
1792,1
,
1795,1
,
1770,1
,
1773,1
,
1774,1
,
1775,1
,
1777,1
,
1778,1
,
1788,1
,
1790,1
,
1799,1
,
1802,1
,
1806,1
,
1807,1
,
1838,1
,
1842,1
,
1851,1
,
1855,1
,
1857,1
,
1858,1
,
1860,1
,
1861,1
,
1823,1
,
1825,1
,
1832,1
,
1834,1
,
1865,1
,
1870,1
,
1876,1
,
1846,1
,
1848,1
,
1852,1
,
1854,1
,
1882,1
,
1885,1
,
1887,1
,
1863,1
,
1867,1
,
1869,1
,
1894,1
,
1901,1
,
1856,1
,
1871,1
,
1872,1
,
1906,1
,
1907,1
,
1890,1
,
1891,1
,
1924,1
,
1925,1
,
1893,1
,
1896,1
,
1968,1
,
1969,1
,
1974,1
,
1977,1
,
1981,1
,
1986,1
,
1987,1
,
1990,1
,
1997,1
,
1998,1
,
1909,1
,
1910,1
,
1912,1
,
1915,1
,
1922,1
,
1923,1
,
1931,1
,
1933,1
,
1936,1
,
1937,1
,
1938,1
,
1940,1
,
1941,1
,
1953,1
,
1956,1
,
1958,1
,
1970,1
,
1973,1
,
1975,1
,
1976,1
,
1979,1
,
1985,1
,
1993,1
,
1994,1
,
1995,1
,
1609,1
,
1613,1
,
1614,1
,
1620,1
,
1625,1
,
1626,1
,
1629,1
,
1630,1
,
1635,1
,
1638,1
,
1650,1
,
1651,1
,
1656,1
,
1664,1
,
1674,1
,
1675,1
,
1680,1
,
1682,1
,
1684,1
,
1687,1
,
1693,1
,
1697,1
,
1698,1
,
1705,1
,
1708,1
,
1562,1
,
1563,1
,
1569,1
,
1578,1
,
1579,1
,
1582,1
,
1603,1
,
1611,1
,
1624,1
,
1628,1
,
1631,1
,
1636,1
,
1639,1
,
1642,1
,
1647,1
,
1653,1
,
1659,1
,
1660,1
,
1662,1
,
1665,1
,
1668,1
,
1669,1
,
1670,1
,
1671,1
,
1676,1
,
1677,1
,
1681,1
,
1683,1
,
1686,1
,
1709,1
,
1718,1
,
1725,1
,
1728,1
,
1732,1
,
1733,1
,
1736,1
,
1739,1
,
1749,1
,
1758,1
,
1759,1
,
1767,1
,
1772,1
,
1694,1
,
1695,1
,
1696,1
,
1701,1
,
1704,1
,
1713,1
,
1722,1
,
1723,1
,
1724,1
,
1726,1
,
1731,1
,
1735,1
,
1753,1
,
1756,1
,
1762,1
,
1768,1
,
1769,1
,
1771,1
,
1785,1
,
1786,1
,
1789,1
,
1791,1
,
1793,1
,
1794,1
,
1797,1
,
1800,1
,
1804,1
,
1808,1
,
1809,1
,
1813,1
,
1814,1
,
1815,1
,
1822,1
,
1826,1
,
1830,1
,
1776,1
,
1779,1
,
1782,1
,
1783,1
,
1784,1
,
1787,1
,
1801,1
,
1803,1
,
1805,1
,
1810,1
,
1817,1
,
1833,1
,
1836,1
,
1837,1
,
1839,1
,
1843,1
,
1820,1
,
1829,1
,
1831,1
,
1835,1
,
1840,1
,
1841,1
,
1845,1
,
1862,1
,
1864,1
,
1880,1
,
1849,1
,
1868,1
,
1875,1
,
1881,1
,
1884,1
,
1886,1
,
1889,1
,
1878,1
,
1879,1
,
1883,1
,
1888,1
,
1897,1
,
1899,1
,
1900,1
,
1911,1
,
1898,1
,
1902,1
,
1903,1
,
1913,1
,
1914,1
,
1926,1
,
1934,1
,
1939,1
,
1942,1
,
1944,1
,
1947,1
,
1949,1
,
1950,1
,
1952,1
,
1955,1
,
1957,1
,
1960,1
,
1961,1
,
1963,1
,
1966,1
,
1971,1
,
1980,1
,
1989,1
,
1991,1
,
1996,1
,
1927,1
,
1928,1
,
1932,1
,
1935,1
,
1945,1
,
1954,1
,
1959,1
,
1962,1
,
1972,1
,
1978,1
,
1982,1
,
1983,1
,
1984,1
,
1988,1
,
1992,1
,
1999,1
,
2000,1
,
1873,closed
,
1905,closed
,
1916,closed
,
1929,closed
,
2001,1
,
2002,1
,
2003,1
,
2004,1
,
2005,1
,
2006,1
,
2007,1
,
2008,1
,
2009,1
,
2010,1
,
2011,1
,
2012,1
,
2013,1
,
2014,1
,
2015,1
,
2016,1
,
2017,1
,
2018,1
,
2019,1
,
2020,1
,
2021,1
,
2022,1
,
2023,1
,
2024,1
,
2025,1
,
2026,1
,
2027,1
,
2028,1
,
2029,1
,
2030,1
,
2031,1
,
2032,1
,
2033,1
,
2034,1
,
2035,1
,
2036,1
,
2037,1
,
2038,1
,
2039,1
,
2040,1
,
2041,1
,
2042,1
,
2043,1
,
2044,1
,
2045,1
,
2046,1
,
2047,1
,
2048,1
,
2049,1
,
2050,1
,
2051,1
,
2052,1
,
2053,1
,
2054,1
,
2055,1
,
2056,1
,
2057,1
,
2058,1
,
2059,1
,
2060,1
,
2061,1
,
2062,1
,
2063,1
,
2064,1
,
2065,1
,
2066,1
,
2067,1
,
2068,1
,
2069,1
,
2070,1
,
2071,1
,
2072,1
,
2073,1
,
2074,1
,
2075,1
,
2076,1
,
2077,1
,
2078,1
,
2079,1
,
2080,1
,
2081,1
,
2082,1
,
2083,1
,
2084,1
,
2085,1
,
2086,1
,
2087,1
,
2088,1
,
2089,1
,
2090,1
,
2091,1
,
2092,1
,
2093,1
,
2094,1
,
2095,1
,
2096,1
,
2097,1
,
2098,1
,
2099,1
,
2100,1
,
2101,1
,
2102,1
,
2103,1
,
2104,1
,
2105,1
,
2106,1
,
2107,1
,
2108,1
,
2109,1
,
2110,1
,
2111,1
,
2112,1
,
2113,1
,
2114,1
,
2115,1
,
2116,1
,
2117,1
,
2118,1
,
2119,1
,
2120,1
,
2121,1
,
2122,1
,
2123,1
,
2124,1
,
2125,1
,
2126,1
,
2127,1
,
2128,1
,
2129,1
,
2130,1
,
2131,1
,
2132,1
,
2133,1
,
2134,1
,
2135,1
,
2136,1
,
2137,1
,
2138,1
,
2139,1
,
2140,1
,
2141,1
,
2142,1
,
2143,1
,
2144,1
,
2145,1
,
2146,1
,
2147,1
,
2148,1
,
2149,1
,
2150,1
,
2151,1
,
2152,1
,
2153,1
,
2154,1
,
2155,1
,
2156,1
,
2157,1
,
2158,1
,
2159,1
,
2160,1
,
2161,1
,
2162,1
,
2163,1
,
2164,1
,
2165,1
,
2166,1
,
2167,1
,
2168,1
,
2169,1
,
2170,1
,
2171,1
,
2172,1
,
2173,1
,
2174,1
,
2175,1
,
2176,1
,
2177,1
,
2178,1
,
2179,1
,
2180,1
,
2181,1
,
2182,1
,
2183,1
,
2184,1
,
2185,1
,
2186,1
,
2187,1
,
2188,1
,
2189,1
,
2190,1
,
2191,1
,
2192,1
,
2193,1
,
2194,1
,
2195,1
,
2196,1
,
2197,1
,
2198,1
,
2199,1
,
2200,1
,
2201,1
,
2202,1
,
2203,1
,
2204,1
,
2205,1
,
2206,1
,
2207,1
,
2208,1
,
2209,1
,
2210,1
,
2211,1
,
2212,1
,
2213,1
,
2214,1
,
2215,1
,
2216,1
,
2217,1
,
2218,1
,
2219,1
,
2220,1
,
2221,1
,
2222,1
,
2223,1
,
2224,1
,
2225,1
,
2226,1
,
2227,1
,
2228,1
,
2229,1
,
2230,1
,
2231,1
,
2232,1
,
2233,1
,
2234,1
,
2235,1
,
2236,1
,
2237,1
,
2238,1
,
2239,1
,
2240,1
,
2241,1
,
2242,1
,
2243,1
,
2244,1
,
2245,1
,
2246,1
,
2247,1
,
2248,1
,
2249,1
,
2250,1
,
2251,1
,
2252,1
,
2253,1
,
2254,1
,
2255,1
,
2256,1
,
2257,1
,
2258,1
,
2259,1
,
2260,1
,
2261,1
,
2262,1
,
2263,1
,
2264,1
,
2265,1
,
2266,1
,
2267,1
,
2268,1
,
2269,1
,
2270,1
,
2271,1
,
2272,1
,
2273,1
,
2274,1
,
2275,1
,
2276,1
,
2277,1
,
2278,1
,
2279,1
,
2280,1
,
2281,1
,
2282,1
,
2283,1
,
2284,1
,
2285,1
,
2286,1
,
2287,1
,
2288,1
,
2289,1
,
2290,1
,
2291,1
,
2292,1
,
2293,1
,
2294,1
,
2295,1
,
2296,1
,
2297,1
,
2298,1
,
2299,1
,
2300,1
,
2301,1
,
2302,1
,
2303,1
,
2304,1
,
2305,1
,
2306,1
,
2307,1
,
2308,1
,
2309,1
,
2310,1
,
2311,1
,
2312,1
,
2313,1
,
2314,1
,
2315,1
,
2316,1
,
2317,1
,
2318,1
,
2319,1
,
2320,1
,
2321,1
,
2322,1
,
2323,1
,
2324,1
,
2325,1
,
2326,1
,
2327,1
,
2328,1
,
2329,1
,
2330,1
,
2331,1
,
2332,1
,
2333,1
,
2334,1
,
2335,1
,
2336,1
,
2337,1
,
2338,1
,
2339,1
,
2340,1
,
2341,1
,
2342,1
,
2343,1
,
2344,1
,
2345,1
,
2346,1
,
2347,1
,
2348,1
,
2349,1
,
2350,1
,
2351,1
,
2352,1
,
2353,1
,
2354,1
,
2355,1
,
2356,1
,
2357,1
,
2358,1
,
2359,1
,
2360,1
,
2361,1
,
2362,1
,
2363,1
,
2364,1
,
2365,1
,
2366,1
,
2367,1
,
2368,1
,
2369,1
,
2370,1
,
2371,1
,
2372,1
,
2373,1
,
2374,1
,
2375,1
,
2376,1
,
2377,1
,
2378,1
,
2379,1
,
2380,1
,
2381,1